url,parsed,news_articles,title,date,author
https://inshorts.com/en/news/remains-of-dogsized-sea-scorpion-that-lived-400-mn-yrs-ago-found-in-china-1635499472732,True,"Scientists from Nanjing Institute of Geology and Palaeontology have recently unearthed the fossil remains of a metre-long sea scorpion that is believed to have lived in China over 400 million years ago. The ""dog-sized"" scorpions named Terropterus xiushanensis, are believed to have been 16 times longer than the average-sized scorpions of today. They went extinct about 280 million years ago.",Remains of 'dog-sized' sea scorpion that lived 400 mn yrs ago found in China | Science News | Inshorts,"29 Oct 2021,Friday",Sakshita KhoslaSakshita Khosla
https://inshorts.com/en/news/remains-of-the-largest-known-triceratops-big-john-sold-for-€665-mn-1634829579048,True,"An anonymous US collector bought the fossilised remains of 'Big John', the largest triceratops dinosaur ever discovered by paleontologists, for €6.65 million (almost ₹58 crore) at a Paris auction on Thursday. 'Big John' is named after the owner of the land where the dinosaur's bones were found. It roamed modern-day South Dakota more than 66 million years ago.",Remains of the largest known triceratops 'Big John' sold for €6.65 mn | Science News | Inshorts,"21 Oct 2021,Thursday",Pragya SwastikPragya Swastik
https://inshorts.com/en/news/signs-of-1st-possible-planet-outside-our-galaxy-found-nasa-1635247362820,True,"Researchers may have detected the signs of a planet transiting a star outside of the Milky Way for the first time, NASA revealed. The possible exoplanet is located in a binary system 'M51-ULS-1' in Messier 51 galaxy. The system contains a black hole or neutron star orbiting a companion star with a mass about 20 times that of the Sun. ",Signs of 1st possible planet outside our galaxy found: NASA | Science News | Inshorts,"26 Oct 2021,Tuesday",Aishwarya AwasthiAishwarya Awasthi
https://inshorts.com/en/news/amazon-verizon-partner-to-offer-satellite-internet-in-rural-areas-1635333600765,True,"US-based Verizon is partnering with Amazon to use its satellite internet system to offer rural broadband access in the US. Amazon's Project Kuiper, a network of 3,236 satellites, aims to offer high-speed internet globally. The firms will initially concentrate on expanding Verizon's LTE and 5G services using Amazon's Project Kuiper for backhaul, boosting coverage in areas with no high-speed data.","Amazon, Verizon partner to offer satellite internet in rural areas | Startup News | Inshorts","27 Oct 2021,Wednesday",Aishwarya AwasthiAishwarya Awasthi
https://inshorts.com/en/news/ready-for-sequel-on-moon-russian-filmmaker-who-shot-movie-in-space-1634735652961,True,"Russian filmmaker Klim Shipenko, who has reportedly filmed the first movie in space, has said that the team is ready for a possible sequel on the Moon. Shipenko said that he believes space cinema should be filmed in space. ""If it's about the Moon, let's go to the Moon, if it's Mars, let's go to Mars,"" the filmmaker added.",Ready for sequel on Moon: Russian filmmaker who shot movie in space | Entertainment News | Inshorts,"20 Oct 2021,Wednesday",Kriti KambiriKriti Kambiri
https://inshorts.com/en/news/he-has-got-the-wrong-idea-shatner-on-prince-williams-remark-on-space-tourism-1634387947307,True,"'Star Trek' actor William Shatner, who became the oldest person to fly to space, responded to Prince William's criticism about ""space tourism"". Prince William said Earth should first be fixed instead of trying to find the next place to go. ""He's...got the wrong idea,"" stated Shatner, adding that the efforts were first step in taking polluting industries off of Earth.",He has got the wrong idea: Shatner on Prince William's remark on space tourism | Entertainment News | Inshorts,"16 Oct 2021,Saturday",Daisy MowkeDaisy Mowke
https://inshorts.com/prev/en/news/nasa-delays-launch-of-artemis-i-mission-to-the-moon-to-february-1634986236293,True,"Central Bureau of Investigation (CBI) on Friday arrested six people for allegedly making derogatory posts on social media against the judges of Andhra Pradesh High Court and the judiciary, CBI officials said. CBI registered a case in November 2020 and took over the investigation of 12 FIRs from the state's Crime Investigation Department (CID). CBI had earlier arrested five accused.",CBI arrests six people for derogatory posts against judiciary | National News | Inshorts,"23 Oct 2021,Saturday",Atul MishraAtul Mishra
https://inshorts.com/prev/en/news/2500-ancient-structures-ruins-found-on-mexico-train-route-experts-1634902991461,True,"The White House has called on all World Trade Organization (WTO) members to support a proposal to waive patents on coronavirus vaccines. India and South Africa had proposed the move last year, saying it would increase vaccine production around the world. Over 100 countries have backed the proposal, but the European Union and several countries, including Switzerland, have opposed it. ",Support proposal to waive patents on COVID-19 vaccines: US to WTO members | World News | Inshorts,"22 Oct 2021,Friday",Athira SasidharanAthira Sasidharan
https://inshorts.com/prev/en/news/bezos-blue-origin-unveils-plans-to-build-a-private-space-station-1635211848485,True,"Tesla on Monday briefly surpassed market capitalisation of $1 trillion for the first time ever, after its shares surged over 9.5%. The company's shares hit a record high of more than $998 after American car rental company Hertz placed an order for 1,00,000 Tesla cars. Tesla also became the second-fastest company ever to reach the $1 trillion mark, Bloomberg reported.",Tesla briefly surpasses $1 trillion market cap for the first time | Business News | Inshorts,"25 Oct 2021,Monday",Hiral GoyalHiral Goyal
https://inshorts.com/prev/en/news/first-dinosaur-era-crab-fully-preserved-in-amber-found-harvard-1634815732020,True,"Celebrities, including Sonu Sood, Hansal Mehta and Pooja Bhatt criticised media for mobbing Shah Rukh Khan as he left Arthur Road Jail after meeting Aryan. ""Before running after someone's feelings with a camera, remember God's camera is focussed on you...Not every news is news,"" tweeted Sonu. ""How do you...explain this pack like behaviour to your own children?"" wrote Pooja. ","Celebs criticise media for mobbing SRK, Sonu Sood says 'Not every news is news' | Entertainment News | Inshorts","21 Oct 2021,Thursday",Daisy MowkeDaisy Mowke
